Name,Gender Guesser,Genderizer,Final
Morris Simon Viteles,male,male,male
Willis Jay Winn,male,male,male
William Gordon Bowen,male,male,male
Thomas Childs Cochran,male,male,male
Robert Galbraith Dunlop,male,male,male
Nancy Hanks,female,female,female
John Hilton Knowles,male,male,male
Yu Hsiu Ku,andy,unknown,male
Harold Francis Linder,male,male,male
The Rt. Hon. Earl of Burma K. G. Mountbatten,mostly_female,unknown,male
Emily Hartshorne Mudd,female,female,female
George Holmes Perkins,male,unknown,male
Donald Thomas Regan,male,male,male
Andrew Wyeth,male,male,male
Robert Dougherty Cross,male,male,male
William Lang Day,male,male,male
Haldan Keffer Hartline,unknown,unknown,male
Philip Bernhard Hofmann,male,male,male
Louis Isadore Kahn,male,male,male
Virginia Harrington Wright Knauer,female,female,female
Harold Smith Prince,male,male,male
David Riesman,male,male,male
Leon Howard Sullivan,male,male,male
George William Taylor,male,unknown,male
Rexford Guy Tugwell,unknown,male,male
Francis Clark Wood,male,unknown,male
Orville Horwitz Bullitt,male,male,male
Jefferson Barnes Fordham,male,male,male
David Rockwell Goddard,male,male,male
Jerzy Konorski,male,male,male
Charles Martin,male,male,male
Martin Meyerson,male,male,male
Ieoh Ming Pei,unknown,unknown,male
Dorothy Swaine Thomas,female,female,female
Elmer Holmes Bobst,male,male,male
Robert Bruce Brown,male,male,male
Otis Howard Green,male,male,male
Barbara Ward Jackson,female,female,female
Samuel Noah Kramer,male,male,male
Marshall Warren Nirenberg,male,male,male
Stuart Thomas Saunders,male,male,male
Bernard Gerard Segal,male,male,male
Randall Thompson,male,male,male
Frank Learoyd Boyden,male,male,male
John Royston Coleman,male,male,male
Jacob Furth,male,male,male
Frederick Mortimer Graves,male,male,male
Neal Elgar Miller,male,male,male
William Samuel Paley,male,male,male
Johan Thorsten Sellin,male,male,male
John Archibald Wheeler,male,male,male
Howard III Butcher,male,male,male
Aaron Everly Carpenter,male,male,male
Charles Klein,male,male,male
Seymour Jacob Kreshover,male,male,male
Nils LagerlÖF,male,male,male
Benjamin Dean Meritt,male,male,male
James Alfred Perkins,male,male,male
Raymond Philip Shafer,male,male,male
Robert Ernest Spiller,male,male,male
Esther du Pont Thouron,female,female,female
Charles Raymond Whittlesey,male,male,male
Walter Hubert Annenberg,male,male,male
William Bosworth Castle,male,male,male
Ronald Salmon Crane,male,male,male
Glenn Raymond Morrow,male,unknown,unknown
John Newsom,male,male,male
Roy Franklin Nichols,male,male,male
Jean Piaget,male,unknown,unknown
Edgar Preston Richardson,male,male,male
Howard Lane Rubendall,male,male,male
Hugh Scott,male,male,male
Roger Huntington Sessions,male,male,male
Robert Clifton Weaver,male,male,male
George Packer Berry,male,unknown,unknown
Kingman Brewster Jr.,unknown,unknown,unknown
John Bruce,male,male,male
George Washington Corner,male,unknown,unknown
Rene Jules Dubos,male,unknown,unknown
John Heysham Gibbon,male,male,male
Wilfred Donnell Gillen,male,male,male
Lister Hill,unknown,unknown,unknown
Seymour Solomon Kety,male,male,male
Hans Adolf Krebs,male,male,male
Richard King Mellon,male,male,male
Charles Coolidge Parlin,male,male,male
Carl Frederic Schmidt,male,male,male
Georg Von BÉKÉSy,male,male,male
George Wells Beadle,male,unknown,unknown
John Presper Eckert,male,male,male
John Franklin Enders,male,male,male
Roy Forbes Harrod,male,male,male
Arthur Kornberg,male,male,male
Severo Ochoa,male,male,male
Rosemary Park,female,female,female
William Warren Scranton,male,male,male
Lawrence Baker Sheppard,male,male,male
Wendell Meredith Stanley,male,male,male
Joseph Stokes Jr.,male,male,male
Marietta Peabody Tree,female,female,female
Marvin Wachman,male,male,male
William Norman Brown,male,male,male
Joseph Sill Clark,male,male,male
Lammot duPont Copeland,unknown,unknown,unknown
Andrew Wellington Cordier,male,male,male
Walter Gellhorn,male,male,male
Alfred Irving Hallowell,male,male,male
John Marshall Harlan,male,male,male
Christian Archibald Herter,male,unknown,unknown
Charles Peter Beauchamp Jeffreys,male,male,male
Francis Keppel,male,unknown,unknown
Giuseppe Moruzzi,male,male,male
Henry Rawle Pemberton,male,male,male
John Alanson Perkins,male,male,male
Sarvepalli Radhakrishnan,unknown,unknown,unknown
William Abraham Schnader,male,male,male
David Van Pelt,male,male,male
John Chipman,male,male,male
Merle Eugene Curti,mostly_male,unknown,unknown
James Frederic Dewhurst,male,male,male
Clarence Douglas Dillon,male,male,male
Henry Francis Du Pont,male,male,male
Ahmed Fakhry,male,male,male
Félix Houphouet-Boigny,unknown,male,unknown
John Frederick Lewis Jr.,male,male,male
Percy Childs Madeira Jr.,male,male,male
Adolfo Molina-Orantes,male,male,male
Muhammed Reza Shah Pahlavi,male,male,male
Hans Rademacher,male,male,male
John Eric Sidney Thompson,male,male,male
Joseph Treloar Wearn,male,male,male
George Dunton Widener,male,unknown,unknown
Arthur Stanton Adams,male,male,male
Albert Croll Baugh,male,male,male
Henry LeRoy Bockus,male,male,male
Hugh Borton,male,male,male
Francis Boyer,male,unknown,unknown
Richardson Dilworth,unknown,unknown,unknown
Crawford Hallock Greenewalt,male,male,male
Edward George Harris,male,male,male
William Henry Hastie,male,male,male
Eugene Ormandy,male,male,male
Arnold Joseph Toynbee,male,male,male
Eugene Paul Wigner,male,male,male
